old_url,new_filename,new_url,file_id,status
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_954284____single-1_____1200x1200_86f0d8f3-6ee9-45ab-a331-ec474d57df7a.jpg?v=1763312433,themoontoys-the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z-1.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_929922____wholes-1_____1200x1200_926cc2dd-7bb1-4cab-af6b-959fb29b326e.jpg?v=1763312433,themoontoys-the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z-2.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_929753____1_them-1_____1200x1200_51a055c9-c258-4825-9f18-3b17d80abb3a.jpg?v=1763312433,themoontoys-the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z-3.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_185312____scene_-1_____1200x1200_ab7d5c26-2e06-4fc4-80ba-02d86962d09f.jpg?v=1763312433,themoontoys-the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z-4.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_738271____2_them-1_____1200x1200_83854c03-db35-41f9-a81c-907f0470fad3.jpg?v=1763312433,themoontoys-the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z-5.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20250822_172815_827654____3_them-1_____1200x1200_f9dc3145-64cd-4de6-b906-a8cd36595c28.jpg?v=1763312433,themoontoys-the-monsters-pin-for-love-series-vinyl-plush-pendant-blind-box-n-z-6.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240111_092846_135210__1200x1200_705bcd89-825c-46f6-b8fb-9930b5ccaf1b.jpg?v=1763312325,themoontoys-the-monsters-catch-me-if-you-like-me-series-vinyl-doll-gift-box-1.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240111_092846_913577__1200x1200_21c0fde7-4a02-4a48-99c8-d19b9bd99205.jpg?v=1763312325,themoontoys-the-monsters-catch-me-if-you-like-me-series-vinyl-doll-gift-box-2.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240112_105501_114302__1200x1200_e9f08f71-87c0-463c-9e2b-b480f475ad2d.jpg?v=1763312325,themoontoys-the-monsters-catch-me-if-you-like-me-series-vinyl-doll-gift-box-3.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240112_105501_587265__1200x1200_106a53e4-a9e3-4e10-88a9-36d01a2d5893.jpg?v=1763312325,themoontoys-the-monsters-catch-me-if-you-like-me-series-vinyl-doll-gift-box-4.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240112_105501_748337__1200x1200_1d85b08d-3ead-4301-9c72-c83cab5aa4f9.jpg?v=1763312325,themoontoys-the-monsters-catch-me-if-you-like-me-series-vinyl-doll-gift-box-5.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240703_182402_236712____the-monsters-flip-with-me-vinyl-plush-doll-plush-toys-pop-mart-us-1_____1200x1200_39f25fe5-b0b6-4925-b36f-8d5d270c9365.jpg?v=1763312264,themoontoys-the-monsters-flip-with-me-vinyl-plush-doll-1.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240703_182402_473533____the-monsters-flip-with-me-vinyl-plush-doll-plush-toys-pop-mart-us-scene_4_____1200x1200_672b2c93-3116-4388-a61e-71ff33d182d2.jpg?v=1763312261,themoontoys-the-monsters-flip-with-me-vinyl-plush-doll-2.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240703_182402_769586____the-monsters-flip-with-me-vinyl-plush-doll-plush-toys-pop-mart-us-scene_3_____1200x1200_bb496742-c595-46a7-9a85-334aac53450d.jpg?v=1763312261,themoontoys-the-monsters-flip-with-me-vinyl-plush-doll-3.jpg,,,PENDING
https://cdn.shopify.com/s/files/1/0793/9457/0452/files/20240703_182402_830824____the-monsters-flip-with-me-vinyl-plush-doll-plush-toys-pop-mart-us-scene_1_____1200x1200_1a33731f-04a1-41af-a4a0-8619d1412e50.jpg?v=1763312261,themoontoys-the-monsters-flip-with-me-vinyl-plush-doll-4.jpg,,,PENDING
