Handle,Title,Body (HTML)
cepillo-ceciliaxund-5183-esqueleto-recta,CEPILLO CECILIAxund 5183 ESQUELETO RECTANGULAR,"<p><strong>Cepillo Cecilia 5183 Esqueleto Rectangular</strong></p><p>Este cepillo de Cecilia de la línea 5183 Esqueleto Rectangular desenreda, da forma y reparte el brillo natural del cabello de raíz a puntas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Desenreda con menos tirones y menos rotura que un peine común.</li><li>Reparte la grasa natural del cuero cabelludo hacia las puntas: más brillo sin producto.</li><li>Mango ergonómico, cómodo incluso en sesiones largas de brushing.</li><li>Fácil de limpiar y pensado para durar.</li></ul><p><strong>Cómo usarlo</strong></p><ol><li>Empezá siempre por las puntas y subí de a poco hacia la raíz.</li><li>Sujetá el mechón por encima de donde cepillás para no tironear.</li><li>Para brushing, trabajá con el secador siguiendo el cepillo.</li><li>Limpiá el cepillo una vez por semana quitando el pelo acumulado.</li></ol><p><strong>Ideal para:</strong> desenredado diario, brushing y cuidado general del cabello.</p><p><strong>Tip Krika:</strong> Nunca cepilles el pelo empapado sin producto: es cuando más se rompe.</p>"
cepillo-ceciliaxund-5110-bambu-ovalado,CEPILLO CECILIAxund 5110 BAMBU OVALADO,"<p><strong>Cepillo Cecilia 5110 Bambu Ovalado</strong></p><p>Este cepillo de Cecilia de la línea 5110 Bambu Ovalado desenreda, da forma y reparte el brillo natural del cabello de raíz a puntas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Desenreda con menos tirones y menos rotura que un peine común.</li><li>Reparte la grasa natural del cuero cabelludo hacia las puntas: más brillo sin producto.</li><li>Mango ergonómico, cómodo incluso en sesiones largas de brushing.</li><li>Fácil de limpiar y pensado para durar.</li></ul><p><strong>Cómo usarlo</strong></p><ol><li>Empezá siempre por las puntas y subí de a poco hacia la raíz.</li><li>Sujetá el mechón por encima de donde cepillás para no tironear.</li><li>Para brushing, trabajá con el secador siguiendo el cepillo.</li><li>Limpiá el cepillo una vez por semana quitando el pelo acumulado.</li></ol><p><strong>Ideal para:</strong> desenredado diario, brushing y cuidado general del cabello.</p><p><strong>Tip Krika:</strong> Nunca cepilles el pelo empapado sin producto: es cuando más se rompe.</p>"
cepillo-ceciliaxund-5111-bambu-osito,CEPILLO CECILIAxund 5111 BAMBU OSITO,"<p><strong>Cepillo Cecilia 5111 Bambu Osito</strong></p><p>Este cepillo de Cecilia de la línea 5111 Bambu Osito desenreda, da forma y reparte el brillo natural del cabello de raíz a puntas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Desenreda con menos tirones y menos rotura que un peine común.</li><li>Reparte la grasa natural del cuero cabelludo hacia las puntas: más brillo sin producto.</li><li>Mango ergonómico, cómodo incluso en sesiones largas de brushing.</li><li>Fácil de limpiar y pensado para durar.</li></ul><p><strong>Cómo usarlo</strong></p><ol><li>Empezá siempre por las puntas y subí de a poco hacia la raíz.</li><li>Sujetá el mechón por encima de donde cepillás para no tironear.</li><li>Para brushing, trabajá con el secador siguiendo el cepillo.</li><li>Limpiá el cepillo una vez por semana quitando el pelo acumulado.</li></ol><p><strong>Ideal para:</strong> desenredado diario, brushing y cuidado general del cabello.</p><p><strong>Tip Krika:</strong> Nunca cepilles el pelo empapado sin producto: es cuando más se rompe.</p>"
cepillo-ceciliaxund-5112-bambu-media-lun,CEPILLO CECILIAxund 5112 BAMBU MEDIA LUNA,"<p><strong>Cepillo Cecilia 5112 Bambu Media Luna</strong></p><p>Este cepillo de Cecilia de la línea 5112 Bambu Media Luna desenreda, da forma y reparte el brillo natural del cabello de raíz a puntas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Desenreda con menos tirones y menos rotura que un peine común.</li><li>Reparte la grasa natural del cuero cabelludo hacia las puntas: más brillo sin producto.</li><li>Mango ergonómico, cómodo incluso en sesiones largas de brushing.</li><li>Fácil de limpiar y pensado para durar.</li></ul><p><strong>Cómo usarlo</strong></p><ol><li>Empezá siempre por las puntas y subí de a poco hacia la raíz.</li><li>Sujetá el mechón por encima de donde cepillás para no tironear.</li><li>Para brushing, trabajá con el secador siguiendo el cepillo.</li><li>Limpiá el cepillo una vez por semana quitando el pelo acumulado.</li></ol><p><strong>Ideal para:</strong> desenredado diario, brushing y cuidado general del cabello.</p><p><strong>Tip Krika:</strong> Nunca cepilles el pelo empapado sin producto: es cuando más se rompe.</p>"
decolorante-cero-gradosx50g-acroma,DECOLORANTE CERO GRADOSx50g ACROMA,"<p><strong>Decolorante Cero Grados 50 g Acroma</strong></p><p>Este decolorante de Cero Grados de la línea Acroma en presentación de 50 g aclara la base del cabello para preparar el tono que querés conseguir después.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Aclara de forma controlada cuando se respeta el volumen de oxidante y el tiempo.</li><li>Base imprescindible para colores de fantasía y rubios fríos.</li><li>Mezcla homogénea, fácil de aplicar con pincel.</li><li>Permite trabajar por niveles según cuánto necesites subir.</li><li>Tamaño de 50 g: entra en cualquier neceser y viaja sin problema.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Prueba de mecha obligatoria: te dice cuánto aclara y en cuánto tiempo en TU cabello.</li><li>Mezclá con el oxidante en la proporción indicada, en bol no metálico.</li><li>Aplicá con pincel empezando por medios y puntas; la raíz va al final porque el calor del cuero cabelludo acelera el proceso.</li><li>Controlá visualmente cada 5 minutos y enjuagá apenas llegues al nivel buscado. Nunca superes el tiempo máximo del envase.</li></ol><p><strong>Ideal para:</strong> aclarados, mechas y preparación de base para color.</p><p><strong>Tip Krika:</strong> Después de decolorar, un tratamiento reconstructor no es opcional: es lo que evita que el pelo se quiebre.</p>"
decolorante-cero-gradosx500g-acroma,DECOLORANTE CERO GRADOSx500g ACROMA,"<p><strong>Decolorante Cero Grados 500 g Acroma</strong></p><p>Este decolorante de Cero Grados de la línea Acroma en presentación de 500 g aclara la base del cabello para preparar el tono que querés conseguir después.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Aclara de forma controlada cuando se respeta el volumen de oxidante y el tiempo.</li><li>Base imprescindible para colores de fantasía y rubios fríos.</li><li>Mezcla homogénea, fácil de aplicar con pincel.</li><li>Permite trabajar por niveles según cuánto necesites subir.</li><li>Formato grande de 500 g, pensado para uso frecuente sin quedarte a mitad de camino.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Prueba de mecha obligatoria: te dice cuánto aclara y en cuánto tiempo en TU cabello.</li><li>Mezclá con el oxidante en la proporción indicada, en bol no metálico.</li><li>Aplicá con pincel empezando por medios y puntas; la raíz va al final porque el calor del cuero cabelludo acelera el proceso.</li><li>Controlá visualmente cada 5 minutos y enjuagá apenas llegues al nivel buscado. Nunca superes el tiempo máximo del envase.</li></ol><p><strong>Ideal para:</strong> aclarados, mechas y preparación de base para color.</p><p><strong>Tip Krika:</strong> Después de decolorar, un tratamiento reconstructor no es opcional: es lo que evita que el pelo se quiebre.</p>"
ampolleta-cero-gradosx2und-paso-1-2-kit,AMPOLLETA CERO GRADOSx2und PASO 1-2 KIT,"<p><strong>Ampolleta Cero Grados 2und Paso 1-2 Kit</strong></p><p>Esta ampolleta capilar de Cero Grados de la línea Paso 1-2 Kit en presentación de 2 unidades concentra en una sola dosis el activo que tu cabello necesita en este momento.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dosis única y concentrada: la potencia de un tratamiento de salón en casa.</li><li>Resultado visible desde la primera aplicación en cabello muy castigado.</li><li>Formato individual, sin desperdicio ni producto que se oxide en el frasco.</li><li>Se puede sumar puntualmente a la rutina sin cambiar el resto de productos.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Lavá el cabello y escurrí el exceso de agua.</li><li>Aplicá el contenido de la ampolleta de medios a puntas o en el cuero cabelludo, según indique el envase.</li><li>Masajeá y dejá actuar el tiempo indicado.</li><li>Enjuagá o dejá sin enjuagar según el tipo de ampolleta.</li></ol><p><strong>Ideal para:</strong> cabello muy dañado o como refuerzo semanal de la rutina.</p><p><strong>Tip Krika:</strong> Una ampolleta por semana durante un mes rinde más que aplicarlas todas seguidas.</p>"
decolorante-cero-gradosx500g-acroma-plex,DECOLORANTE CERO GRADOSx500g ACROMA PLEX,"<p><strong>Decolorante Cero Grados 500 g Acroma Plex</strong></p><p>Este decolorante de Cero Grados de la línea Acroma Plex en presentación de 500 g aclara la base del cabello para preparar el tono que querés conseguir después.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Aclara de forma controlada cuando se respeta el volumen de oxidante y el tiempo.</li><li>Base imprescindible para colores de fantasía y rubios fríos.</li><li>Mezcla homogénea, fácil de aplicar con pincel.</li><li>Permite trabajar por niveles según cuánto necesites subir.</li><li>Formato grande de 500 g, pensado para uso frecuente sin quedarte a mitad de camino.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Prueba de mecha obligatoria: te dice cuánto aclara y en cuánto tiempo en TU cabello.</li><li>Mezclá con el oxidante en la proporción indicada, en bol no metálico.</li><li>Aplicá con pincel empezando por medios y puntas; la raíz va al final porque el calor del cuero cabelludo acelera el proceso.</li><li>Controlá visualmente cada 5 minutos y enjuagá apenas llegues al nivel buscado. Nunca superes el tiempo máximo del envase.</li></ol><p><strong>Ideal para:</strong> aclarados, mechas y preparación de base para color.</p><p><strong>Tip Krika:</strong> Después de decolorar, un tratamiento reconstructor no es opcional: es lo que evita que el pelo se quiebre.</p>"
decolorante-cero-gradosx50g-acroma-plex,DECOLORANTE CERO GRADOSx50g ACROMA PLEX,"<p><strong>Decolorante Cero Grados 50 g Acroma Plex</strong></p><p>Este decolorante de Cero Grados de la línea Acroma Plex en presentación de 50 g aclara la base del cabello para preparar el tono que querés conseguir después.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Aclara de forma controlada cuando se respeta el volumen de oxidante y el tiempo.</li><li>Base imprescindible para colores de fantasía y rubios fríos.</li><li>Mezcla homogénea, fácil de aplicar con pincel.</li><li>Permite trabajar por niveles según cuánto necesites subir.</li><li>Tamaño de 50 g: entra en cualquier neceser y viaja sin problema.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Prueba de mecha obligatoria: te dice cuánto aclara y en cuánto tiempo en TU cabello.</li><li>Mezclá con el oxidante en la proporción indicada, en bol no metálico.</li><li>Aplicá con pincel empezando por medios y puntas; la raíz va al final porque el calor del cuero cabelludo acelera el proceso.</li><li>Controlá visualmente cada 5 minutos y enjuagá apenas llegues al nivel buscado. Nunca superes el tiempo máximo del envase.</li></ol><p><strong>Ideal para:</strong> aclarados, mechas y preparación de base para color.</p><p><strong>Tip Krika:</strong> Después de decolorar, un tratamiento reconstructor no es opcional: es lo que evita que el pelo se quiebre.</p>"
bandas-fac-cettuax6und-nariz,BANDAS FACIAL CETTUAx6und NARIZ REMOVEDOR DE PUNTOS,"<p><strong>Bandas Facial Cettua 6und Nariz Removedor De Puntos</strong></p><p>Esta banda facial de Cettua de la línea Nariz Removedor De Puntos en presentación de 6 unidades retira los puntos negros de la nariz de forma mecánica y visible.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Resultado que se ve en la banda al retirarla.</li><li>Uso rápido: 10 o 15 minutos.</li><li>Se aplica solo donde hace falta.</li><li>Práctica para incluir en la rutina semanal.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Humedecé bien la zona: sin agua, la banda no adhiere.</li><li>Aplicá la banda y presioná para que se adapte.</li><li>Esperá a que endurezca, entre 10 y 15 minutos.</li><li>Retirá despacio desde los bordes hacia el centro y enjuagá.</li></ol><p><strong>Ideal para:</strong> puntos negros en nariz, mentón y frente.</p><p><strong>Tip Krika:</strong> Después de usarla, pasá un tónico: el poro queda abierto y conviene cerrarlo.</p><p><strong>Información del fabricante</strong></p><p>Las bandas faciales para limpieza profunda de la nariz, diseñadas para remover todo tipo de impurezas, puntos negros, exceso de grasa. Indispensables en la remoción de polvo, células muertas, oleosidad. Son parches con propiedades adhesivas, humectantes, poseen ingredientes activos que liberan los poros obstruidos de la nariz. Al colocar la tira removedora sobre la piel se le adhieren la suciedad y las sustancias que taponan los poros y al ser levantada se obtendrá visibles e instantáneos resultados.</p>"
